id,event_id,restaurant,burger,description,neighborhood,address,latitude,longitude,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,tags,restaurant_photo,maps_url,everout_url
burger-26069,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26070,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26071,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26072,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26073,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26074,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26075,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26076,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26077,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26078,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26079,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26080,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26081,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26082,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26083,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26084,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26085,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26086,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26087,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26088,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26089,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26090,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26091,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26092,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26093,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26094,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26095,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26096,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26097,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26098,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26099,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26100,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26101,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26102,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26103,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26104,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26105,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26106,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26107,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26108,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26109,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26110,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26111,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26112,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26113,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26114,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26115,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26116,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26117,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26118,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26119,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26120,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26121,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26122,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26123,burger-week-2026,,,,,,,,,,,,,,,,,,
burger-26124,burger-week-2026,,,,,,,,,,,,,,,,,,
